지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),condition
90,속초,2022-04-04,11.8,,2.1,44.8,1022.3,clear
90,속초,2022-04-05,15.3,,2.6,24.4,1014.8,clouds
90,속초,2022-04-06,10.9,,2.8,52,1017.3,clouds
90,속초,2022-04-07,11.5,,2.2,54,1013.1,clouds
90,속초,2022-04-08,13.8,,2.9,46.8,1013.6,clear
90,속초,2022-04-09,23.2,,5.1,24.4,1006.8,clear
90,속초,2022-04-10,24,,2.7,20.4,1009.7,clear
90,속초,2022-04-11,19.1,,2.9,46,1007.9,clear
90,속초,2022-04-12,15.3,2.2,2.4,66.4,1008.8,rain
90,속초,2022-04-13,8.5,13.8,2.1,80.8,1018.7,rain
90,속초,2022-04-14,9.5,0.5,1.7,68.3,1020.2,rain
90,속초,2022-04-15,9.1,,1.5,68.1,1017.8,clouds
90,속초,2022-04-16,12.3,,2.6,51.9,1012.9,clear
90,속초,2022-04-17,16.9,,2.2,28.4,1012.9,clear
90,속초,2022-04-18,15.3,,2.1,47.4,1013.6,clouds
90,속초,2022-04-19,12.6,,1.6,74.6,1013.3,clear
90,속초,2022-04-20,20,,1.9,22.5,1010.2,clear
90,속초,2022-04-21,18.6,,2,35.8,1007.1,clear
90,속초,2022-04-22,19.2,,2.6,50,1004.3,clouds
90,속초,2022-04-23,14.5,,2.9,67.4,1009.9,clouds
90,속초,2022-04-24,20.5,,1.8,44.5,1005.6,clouds
90,속초,2022-04-25,18.8,,1.9,62.9,1007.9,clouds
90,속초,2022-04-26,19,0.2,2.2,67.6,999.7,rain
90,속초,2022-04-27,13.5,,2.9,57.1,1013.3,clear
90,속초,2022-04-28,11,1.2,1.4,85.4,1017.9,rain
90,속초,2022-04-29,7.8,15.6,1.8,90.4,1017.7,rain
90,속초,2022-04-30,11.3,0.1,1.7,67,1013.9,rain
90,속초,2022-05-01,13.5,0.1,2.8,43.1,1008.8,rain
90,속초,2022-05-02,10.5,0.1,1.9,61.6,1011.8,rain
90,속초,2022-05-03,17.6,,2.4,33.1,1011.7,clouds
90,속초,2022-05-04,23.9,,4.1,25.4,1010.4,clear
90,속초,2022-05-05,20.5,,2.3,41,1013.3,clear
90,속초,2022-05-06,18.9,,1.5,59.5,1011.9,clouds
90,속초,2022-05-07,13.5,7.7,2.4,81.4,1015.9,rain
90,속초,2022-05-08,12.5,0.1,1.6,72.6,1017.8,rain
